# name, date-of-birth, customer-since, country, subscribe-newsletter, membership-number
Karen Boyle,1993-01-12, 2000-04-21,Uzbekistan,1,2720615987169372
Jenna Lamb,1971-12-06,1980-06-07,Argentina,0,4555632656240760
Ryan Booth,1984-03-21,2018-01-01,Netherlands,1,30086381747107
Alexander Williams,2021-05-18,2021-11-06,Tokelau,0,3554169369725079
Mary Stevenson,1976-09-12,2001-11-27,Mauritius,0,4297912214599524
Lisa Smith,2021-08-06, 2021-10-02,Germany,0,4363483260776957726
Samuel Andrews,2001-08-23,2019-03-05,Uganda,0,5573695558567908
Stephanie Jones, 1980-12-25,1996-08-11,Austria,1,376557764713892
Angela French,2007-05-17,2007-11-01,Grenada,0,3520116759871105
Amy Gonzalez,1975-03-09,1981-04-23,Brunei Darussalam,0,4768149108910
Patricia Wolfe,1991-07-12,2020-12-22,Cocos (Keeling) Islands,0,3549543806189941
Paul Waters,2021-12-01,2021-12-20,El Salvador,1,4387288225607438382
Stacey Taylor, 1965-03-26,1971-02-04,Nigeria,0,2582110200493145
Nancy Doyle, 1998-01-14,2021-05-19,Norway,1,4124210345876
Michael Morales,1962-07-17,1998-08-14,Central African Republic,1,4156884465939230
Renee Adams,2021-08-17,2021-10-17,China,0,2704662918825789
Cheryl Medina,1968-05-21,2004-10-18,Brunei Darussalam,0,3506810459322181
Bryan Rose,2010-05-04,2019-09-25,Antigua and Barbuda,0,372748200582652
Nicholas Crosby,1983-04-18,1996-11-22,Libyan Arab Jamahiriya,0,347519178210010
Joshua Gray,2020-04-30,2021-08-23,Korea,0, 4887101366313027
Mary Miller,1972-12-11,2001-02-19,Paraguay,1,3532419218625625
Jason Horton,2005-07-05,2020-06-27,Israel,1,370382669929246
Tammy Torres, 1987-12-11,2013-11-01,Mozambique,0,30248329229297
Derrick Lopez,2000-03-22,2006-10-12,United States of America,1,4827351377207262170
Christopher Beck,2019-08-26,2020-02-19,Svalbard & Jan Mayen Islands,0,4113116756948
Christopher Chapman,1973-04-17, 1974-05-02,Burundi,1,2236958899691316
Dakota Pacheco,2015-08-09,2016-09-11,Panama,0,30357176780086
Brittany Gonzalez,1982-07-11,2007-05-19,Northern Mariana Islands,0,4361695493454146
Deanna Henry,2004-07-08,2010-07-31,Germany,0,342448262913294
Kathleen Bradley,2011-03-31,2017-06-09,Macedonia,0,3561410649864168
Jamie Clay,2009-12-11,2021-05-29,Marshall Islands,1,180024920366863
Shelby Castillo,1986-10-23,2002-06-07,Slovakia (Slovak Republic),1,2228698271023155
Jonathan Wright,1984-10-14,1999-08-19,Spain,1,3560701869035500
Mark Thompson,1989-03-04,2021-01-17, Palestinian Territory,0,4447457762978
Adam Patel,1984-12-23,2010-05-29,Andorra,0,2292278524720427
Steven Morgan, 1979-09-04,2019-03-28,Monaco,1,4014798746845
James Chapman,1978-07-26,2020-02-12,Tanzania,1,30321703575492
David Rich,1981-10-17,1997-11-08,Switzerland,1,4116192510295239
Kimberly Snow,2003-04-21,2005-10-08,Tokelau,0,3536482102370860
Amanda Good,2006-03-27,2010-04-04,Swaziland,0,4970930325685314466
Karen Phillips,1989-11-28,2005-09-27,Myanmar,1,3518448586164402
Nicole Smith,1964-01-05,1998-06-15, Zambia,1,6511717446409284
Karen Atkins,2020-08-11,2020-12-17,Benin,0,346063756119161
Carol Fleming,2018-02-07,2019-12-17,San Marino,1,213131884039104
Lindsay Wade,2007-09-02,2008-01-06,Thailand,1,344879408180455
Karen Jackson,2005-10-30,2020-10-22,Brunei Darussalam,0,4850194953889239
Stefanie Mason,1971-12-10,2009-12-31,Panama,0,3529702969792610
Joshua Watkins,2003-10-24,2013-11-27,Greenland,1,567778174969
James Brown,2007-01-14,2011-02-28,Cuba,1,3596844151889065
Tiffany Johnson,2001-11-25,2004-04-30,Costa Rica,1,4415592253659500289
Sarah Herman,1964-01-05,1997-05-03,Taiwan,0,5195405657739228
Rebecca Cannon,1986-03-25,1995-06-22,Denmark,0,4359734991995971
Brandy Avery,1989-06-10,2009-05-04,Cameroon,0,180008027102966
Paul Choi,1981-03-14,2018-03-22,Egypt,0,568250621220
Jeffrey Rice,1983-03-21,2006-04-11,Belarus,1,372694333863710
Mary Peterson,1980-01-02,1981-03-19,United States of America,0,4463852586137008
Lynn Cooper, 2005-04-29,2010-08-25,Mozambique,1,676172657840
Tiffany Perry,2009-02-01,2021-05-27,Korea,0,344312966523841
Andrew Griffin,1977-07-13,1984-07-20,United Arab Emirates,1,4633668224208836
Joshua Fletcher,1983-01-21,1990-01-04,Mauritania,0,180006107592973
Brian Flores,1969-09-18,1978-08-24,Congo,1,213129226089969
Dustin Conrad,1968-09-12,1979-03-28,Greenland,1,4648374264382
Olivia Brennan,1991-08-24,1995-07-12,Montserrat,0,2705142302091636
Dylan Henry,2021-10-15,2021-12-04,France,0,6544432021543116
Hannah Long DDS,1998-04-01,1999-09-04,Montenegro,1,6508078357345214
Steven Wolf,2007-11-14,2012-07-14,Bangladesh,0,6011972946139130
Scott Werner,2009-09-04,2019-09-10,Jamaica,0,676310878555
John Fritz,1986-05-01,2015-10-22,Belize,1,2228227601132393
Brian Schneider,1987-05-31,2002-10-21,Svalbard & Jan Mayen Islands,1,341423573753672
Kevin Jordan,1975-01-18,1976-11-19,Greenland,0,4691812295980506
Ralph Lucas,1975-10-16,2001-12-02,South Georgia and the South Sandwich Islands,1,2352444733194294
Tracy Mcguire,1986-01-06,2015-12-16,Tanzania,1,4745347981561
Nicholas Dominguez,2003-07-22,2011-11-12,Cambodia,0,3581910017340531
Chase Wallace,2022-01-13,2022-01-13,Turks and Caicos Islands,1,3514387699072074
